iter	Passed	Remaining
377	76490	125865
378	76719	125706
379	76868	125416
380	77134	125318
381	77297	125051
382	77417	124717
383	77660	124579
384	77864	124381
385	77979	124039
386	78169	123818
387	78419	123692
388	78529	123346
389	78676	123057
390	79005	123055
391	79109	122701
392	79277	122447
393	79559	122368
394	79661	122013
395	79768	121666
396	80092	121651
397	80225	121346
398	80335	121007
399	80606	120909
400	80768	120649
401	80867	120295
402	81053	120071
403	81317	119963
404	81521	119765
405	81897	119819
406	81996	119469
407	82141	119186
408	82426	119105
409	82546	118786
410	82652	118448
411	82919	118342
412	83089	118095
413	83193	117757
414	83385	117544
415	83647	117428
416	83746	117084
417	83902	116821
418	84202	116758
419	84319	116440
420	84420	116103
421	84700	116012
422	84854	115746
423	84978	115442
424	85248	115335
425	85436	115118
426	85542	114791
427	85844	114726
428	86027	114502
429	86143	114190
430	86467	114152
431	86618	113887
432	86928	113830
433	87203	113726
434	87426	113554
435	87720	113473
436	87860	113192
437	88235	113215
438	88474	113061
439	88879	113119
440	89011	112828
441	89386	112845
442	89565	112613
443	89743	112381
444	90028	112282
445	90147	111977
446	90338	111761
447	90611	111645
448	90721	111330
449	90900	111100
450	91252	111081
451	91739	111223
452	92040	111139
453	93050	111906
454	93576	112086
455	94136	112303
456	94699	112520
457	95322	112805
458	95550	112620
459	95864	112536
460	95983	112224
461	96212	112040
462	96433	111846
463	96575	111561
464	96876	111460
465	97051	111213
466	97164	110896
467	97430	110753
468	97629	110535
469	97756	110235
470	98014	110084
471	98200	109851
472	98315	109539
473	98542	109352
474	98775	109173
475	98892	108864
476	99172	108736
477	99365	108512
478	99472	108194
479	99717	108026
480	99923	107817
481	100039	107511
482	100269	107328
483	100495	107140
484	100611	106835
485	100809	106617
486	101068	106463
487	101193	106169
488	101471	106036
489	101780	105934
490	102288	106038
491	102696	106036
492	102902	105824
493	103401	105913
494	103657	105751
495	103980	105657
496	104124	105381
497	104565	105405
498	104739	105159
499	105105	105105
500	105262	104842
501	105683	104841
502	105816	104554
503	106251	104564
504	106421	104313
505	106797	104265
506	106986	104032
507	107425	104041
508	107558	103754
509	107830	103601
510	108065	103412
511	108202	103130
512	108602	103098
513	108802	102875
514	109186	102826
515	109325	102545
516	109686	102473
517	109921	102281
518	110223	102152
519	110406	101913
520	110543	101631
521	110889	101542
522	111029	101264
523	111241	101051
524	111516	100895
525	111687	100646
526	112056	100574
527	112184	100286
528	112451	100122
529	112728	99967
530	113094	99889
531	113315	99683
532	113531	99472
533	113840	99343
534	113978	99065
535	114380	99016
536	114581	98791
537	114983	98740
538	115116	98458
539	115375	98282
540	115642	98114
541	116013	98033
542	116636	98163
543	116894	97985
544	117308	97936
545	117757	97915
546	118014	97733
547	118252	97536
548	118503	97349
549	118648	97076
550	118975	96951
551	119135	96689
552	119349	96472
553	119621	96301
554	119764	96027
555	120018	95842
556	120263	95649
557	120406	95375
558	120785	95288
559	120933	95019
560	121231	94867
561	121417	94627
562	121565	94359
563	121937	94263
564	122069	93982
565	122504	93934
566	122710	93710
567	123099	93624
568	123231	93344
569	123532	93191
570	123755	92979
571	123882	92695
572	124220	92569
573	124395	92321
574	124782	92230
575	125045	92047
576	125413	91940
577	125543	91660
578	125752	91436
579	126038	91269
580	126173	90992
581	126456	90822
582	126699	90623
583	127302	90681
584	127745	90622
585	128232	90594
586	128642	90509
587	129005	90391
588	129450	90329
589	129637	90087
590	130062	90009
591	130265	89777
592	130701	89705
593	130999	89538
594	131378	89425
595	131839	89367
596	132387	89367
597	132570	89119
598	132872	88951
599	133054	88703
600	133226	88448
601	133547	88291
602	133746	88055
603	134224	88001
604	134782	87998
605	135140	87863
606	135390	87658
607	135543	87389
608	135882	87241
609	136251	87111
610	136520	86917
611	136677	86651
612	137066	86533
613	137258	86289
614	137617	86150
615	137796	85899
616	138237	85810
617	138380	85535
618	138719	85382
619	138863	85109
620	139052	84864
621	139389	84709
622	139545	84443
623	139926	84314
624	140092	84055
625	140410	83887
626	140591	83637
627	140730	83362
628	141170	83265
629	141385	83036
630	141686	82856
631	141823	82580
632	142096	82384
633	142330	82165
634	142524	81923
635	142889	81779
636	143018	81500
637	143310	81314
638	143509	81074
639	143697	80829
640	143996	80647
641	144131	80372
642	144438	80193
643	144671	79973
644	144816	79705
645	145174	79553
646	145288	79268
647	145562	79070
648	145803	78855
649	145926	78575
650	146246	78402
651	146425	78153
652	146625	77915
653	146943	77740
654	147092	77476
655	147443	77317
656	147603	77059
657	147812	76826
658	148085	76626
659	148258	76375
660	148585	76203
661	148767	75957
662	149039	75756
663	149304	75551
664	149514	75319
665	149822	75136
666	149941	74858
667	150128	74614
668	150427	74426
669	150550	74151
670	150824	73951
671	151033	73718
672	151167	73449
673	151546	73299
674	151669	73025
675	151865	72787
676	152218	72624
677	152529	72440
678	152853	72262
679	153075	72035
680	153314	71816
681	153574	71607
682	153872	71416
683	154132	71207
684	154247	70931
685	154474	70707
686	154696	70480
687	154799	70199
688	155039	69981
689	155274	69761
690	155392	69488
691	155636	69271
692	155869	69050
693	155984	68776
694	156232	68562
695	156450	68334
696	156564	68061
697	156831	67855
698	157060	67632
699	157296	67412
700	157584	67215
701	157693	66941
702	158055	66774
703	158211	66520
704	158326	66249
705	158735	66102
706	158868	65839
707	159265	65685
708	159390	65419
709	159569	65176
710	159877	64985
711	160002	64720
712	160398	64564
713	160616	64336
714	160975	64165
715	161143	63917
716	161355	63687
717	161628	63480
718	161755	63217
719	162136	63053
720	162358	62826
721	162708	62649
722	162861	62396
723	162974	62128
724	163264	61928
725	163451	61688
726	163633	61446
727	163935	61250
728	164065	60990
729	164200	60731
730	164539	60548
731	164668	60288
732	164927	60076
733	165143	59847
734	165258	59583
735	165509	59367
736	165739	59144
737	166215	59008
738	166513	58809
739	166908	58643
740	167298	58475
741	167723	58319
742	168059	58130
743	168182	57869
744	168564	57696
745	168717	57445
746	169032	57249
747	169248	57019
748	169382	56762
749	169719	56573
750	169879	56324
751	170157	56115
752	170374	55886
753	170509	55630
754	170838	55437
755	171051	55207
756	171358	55006
757	171554	54770
758	171723	54526
759	172048	54330
760	172170	54071
761	172388	53843
762	172675	53635
763	172793	53376
764	173099	53174
765	173310	52943
766	173523	52713
767	173828	52510
768	173941	52250
769	174249	52048
770	174455	51816
771	174575	51558
772	174912	51365
773	175048	51112
774	175164	50854
775	175517	50664
776	175656	50413
777	175870	50184
778	176163	49977
779	176290	49723
780	176573	49512
781	176793	49285
782	177028	49061
783	177331	48856
784	177467	48605
785	177853	48423
786	177995	48174
787	178273	47961
788	178531	47744
789	178705	47504
790	179072	47315
791	179206	47064
792	179536	46865
793	179727	46629
794	179965	46406
795	180221	46187
796	180359	45938
797	180687	45738
798	180862	45498
799	181017	45254
800	181339	45051
801	181490	44806
802	181830	44608
803	182084	44388
804	182511	44210
805	182657	43964
806	183055	43779
807	183244	43543
808	183573	43340
809	183771	43107
810	184047	42891
811	184332	42678
812	184486	42434
813	184856	42239
814	184999	41993
815	185405	41807
816	185605	41573
817	186035	41391
818	186447	41205
819	186743	40992
820	187240	40823
821	187669	40638
822	187832	40396
823	188283	40215
824	188480	39980
825	188820	39775
826	188995	39535
827	189415	39347
828	189598	39109
829	189930	38901
830	190148	38670
831	190409	38448
832	190700	38231
833	190868	37990
834	191235	37789
835	191362	37540
836	191719	37335
837	191885	37094
838	192053	36854
839	192399	36647
840	192555	36404
841	192941	36205
842	193063	35956
843	193362	35740
844	193591	35510
845	193714	35262
846	194095	35060
847	194249	34818
848	194511	34595
849	194754	34368
850	194931	34130
851	195283	33922
852	195435	33680
853	195760	33467
854	195946	33230
855	196097	32988
856	196436	32777
857	196563	32531
858	196907	32321
859	197099	32085
860	197312	31854
861	197626	31638
862	197760	31394
863	198105	31183
864	198307	30949
865	198592	30729
866	198829	30500
867	199033	30267
868	199365	30053
869	199518	29813
870	199795	29590
871	200023	29361
872	200298	29138
873	200539	28910
874	200680	28668
875	201091	28464
876	201238	28223
877	201578	28009
878	201777	27776
879	202034	27550
880	202304	27326
881	202440	27083
882	202783	26869
883	202930	26628
884	203159	26399
885	203466	26179
886	203592	25936
887	203979	25727
888	204129	25487
889	204387	25261
890	204612	25031
891	204755	24791
892	205069	24571
893	205253	24336
894	205603	24121
895	205817	23889
896	206014	23656
897	206315	23434
898	206440	23192
899	206666	22962
900	206933	22737
901	207062	22496
902	207339	22272
903	207533	22038
904	207660	21798
905	208003	21580
906	208167	21344
907	208365	21111
908	208626	20885
909	208747	20645
910	208904	20408
911	209218	20187
912	209340	19948
913	209523	19714
914	209831	19492
915	209962	19254
916	210252	19030
917	210445	18797
918	210575	18559
919	211028	18350
920	211472	18139
921	211750	17913
922	212212	17703
923	212745	17498
924	212911	17263
925	213258	17042
926	213414	16806
927	213622	16574
928	213884	16346
929	214023	16109
930	214377	15888
931	214557	15654
932	214775	15423
933	215052	15196
934	215201	14960
935	215562	14739
936	215731	14504
937	215955	14274
938	216244	14047
939	216542	13821
940	216828	13595
941	216970	13359
942	217308	13135
943	217480	12901
944	217832	12678
945	218018	12445
946	218259	12215
947	218551	11988
948	218686	11752
949	219078	11530
950	219208	11294
951	219484	11066
952	219728	10836
953	219901	10603
954	220281	10379
955	220411	10144
956	220783	9920
957	220998	9688
958	221265	9459
959	221505	9229
960	221671	8996
961	222016	8769
962	222163	8535
963	222457	8307
964	222666	8075
965	222812	7842
966	223166	7615
967	223283	7381
968	223518	7150
969	223777	6920
970	223952	6688
971	224340	6462
972	224496	6229
973	224791	6000
974	224993	5769
975	225180	5537
976	225518	5309
977	225656	5076
978	225951	4846
979	226145	4615
980	226383	4384
981	226705	4155
982	226837	3922
983	227235	3694
984	227373	3462
985	227659	3232
986	227875	3001
987	228129	2770
988	228442	2540
989	228557	2308
990	228854	2078
991	229083	1847
992	229259	1616
993	229560	1385
994	229682	1154
995	229917	923
996	230162	692
997	230338	461
998	230752	230
999	230906	0
