iter	RMSE
0	0.1369035255
1	0.1319657541
2	0.1273470217
3	0.1230208252
4	0.1186945283
5	0.1144846422
6	0.1104349012
7	0.1065901767
8	0.1029990714
9	0.09968742707
10	0.09651023902
11	0.09354027496
12	0.09078552506
13	0.088221257
14	0.08580593533
15	0.08356739123
16	0.08149036109
17	0.07958593174
18	0.0778201392
19	0.07621234606
20	0.07469670681
21	0.0732464407
22	0.07156052595
23	0.06986298218
24	0.06824956758
25	0.06677701859
26	0.06542645314
27	0.06409107725
28	0.06289363673
29	0.06173182801
30	0.06070474924
31	0.05975237488
32	0.05886548405
33	0.0580395599
34	0.05721974713
35	0.05647850465
36	0.05581279296
37	0.05523945111
38	0.05467438078
39	0.05413843136
40	0.05361226809
41	0.05316423743
42	0.05271008615
43	0.05231356776
44	0.05194536284
45	0.05160310317
46	0.05125005549
47	0.05091540765
48	0.05063030274
49	0.05033615943
50	0.05009089718
51	0.04985337555
52	0.04954917717
53	0.04924918141
54	0.0489885045
55	0.04868377743
56	0.04843099825
57	0.04819857605
58	0.04802037332
59	0.0477707678
60	0.04752943767
61	0.04736680827
62	0.04722219929
63	0.04707865125
64	0.04694796399
65	0.04663257358
66	0.04649974385
67	0.04633765033
68	0.0462134029
69	0.04609425408
70	0.04596091528
71	0.04585825164
72	0.04574069159
73	0.04561901512
74	0.0455394028
75	0.04545167704
76	0.04536333149
77	0.04527926363
78	0.04517086951
79	0.04511299472
80	0.04505616532
81	0.04498623996
82	0.04492681805
83	0.04487067653
84	0.04480371294
85	0.04473525457
86	0.04467322981
87	0.0445774363
88	0.04452914676
89	0.04447638166
90	0.04441000847
91	0.04434004247
92	0.04426447968
93	0.04421812474
94	0.044182809
95	0.04411243243
96	0.0440444195
97	0.04399121762
98	0.0439527598
99	0.0438922001
100	0.04385798151
101	0.04383422432
102	0.0437825344
103	0.04375150578
104	0.04370848696
105	0.04365627321
106	0.04352076076
107	0.04346866025
108	0.0434213754
109	0.04338185617
110	0.04332392475
111	0.04320402557
112	0.04314758273
113	0.04309772829
114	0.04297018601
115	0.04293592238
116	0.04291722985
117	0.04287007117
118	0.04281684783
119	0.04280251962
120	0.04278440396
121	0.042755125
122	0.04270806779
123	0.04267854579
124	0.04263553358
125	0.04259990643
126	0.04252450053
127	0.04248674868
128	0.04245405089
129	0.04242330191
130	0.04238466883
131	0.04234200101
132	0.04232004642
133	0.04229362672
134	0.04225958426
135	0.04221457539
136	0.04215374368
137	0.04211418604
138	0.04209049562
139	0.04207264174
140	0.04204140105
141	0.04200536501
142	0.04189828867
143	0.04188455653
144	0.04185680227
145	0.04183572311
146	0.04180654155
147	0.04178001345
148	0.04175202733
149	0.0416276076
150	0.04158289848
151	0.04153559892
152	0.04138674405
153	0.04135542136
154	0.04132388625
155	0.04127375331
156	0.04123043781
157	0.04120519279
158	0.04117803751
159	0.04111084908
160	0.04108655146
161	0.04105190692
162	0.04103163713
163	0.04100528321
164	0.04091964067
165	0.04089737391
166	0.04086005554
167	0.04082989384
168	0.04082950705
169	0.04080755405
170	0.04077402897
171	0.04073942197
172	0.04071925285
173	0.04071439215
174	0.04069459996
175	0.04068331782
176	0.04066245309
177	0.04060189907
178	0.04057357987
179	0.04055862402
180	0.04053150195
181	0.04048589841
182	0.04046792104
183	0.04041916243
184	0.04038573287
185	0.04036383353
186	0.04034227101
187	0.04031590572
188	0.0402932733
189	0.040268017
190	0.04025940482
191	0.04024815261
192	0.04020567298
193	0.0401824497
194	0.04017521728
195	0.04014755745
196	0.04012237794
197	0.04008253021
198	0.04006040138
199	0.04002794211
200	0.03998896969
201	0.03994401006
202	0.03994379379
203	0.03993624994
204	0.03990273008
205	0.03987627741
206	0.03984457387
207	0.03983421359
208	0.03982032426
209	0.0397872262
210	0.03972387909
211	0.03970982053
212	0.03968893415
213	0.03962329687
214	0.03961363207
215	0.0395542113
216	0.0395391324
217	0.03946190813
218	0.03945178667
219	0.03942986039
220	0.03940955581
221	0.03939724904
222	0.03938066261
223	0.03936231911
224	0.03934435143
225	0.03931828301
226	0.03930867754
227	0.03929570934
228	0.03928161485
229	0.03926675136
230	0.03924860628
231	0.03923083845
232	0.03919681544
233	0.03917862701
234	0.03915116848
235	0.03914373441
236	0.03912866941
237	0.03910726551
238	0.0390813764
239	0.03905115762
240	0.03903340981
241	0.0390061196
242	0.0389962642
243	0.03897707001
244	0.03895727683
245	0.03895014942
246	0.03893635002
247	0.03892177365
248	0.03889610848
249	0.03886286047
250	0.03884866192
251	0.03882532588
252	0.03881206468
253	0.03878204965
254	0.03875019798
255	0.0386584654
256	0.03863864691
257	0.03860894956
258	0.03858637302
259	0.03857361785
260	0.03853328651
261	0.03850953804
262	0.03850313372
263	0.03849215053
264	0.03847763089
265	0.03845034792
266	0.03843978582
267	0.03842564087
268	0.03839922634
269	0.03837617459
270	0.03833616667
271	0.03829654788
272	0.03828236001
273	0.03826767952
274	0.03824656662
275	0.03823597813
276	0.03822023617
277	0.03820389433
278	0.03817997914
279	0.038155039
280	0.03810452611
281	0.03807738415
282	0.03803277682
283	0.03799994627
284	0.03798796309
285	0.0379605574
286	0.03794039394
287	0.03792297865
288	0.03791296098
289	0.03787145981
290	0.03785381902
291	0.03783842256
292	0.03781409964
293	0.03780249474
294	0.03778049867
295	0.03776431269
296	0.03773808701
297	0.03771351654
298	0.03768241497
299	0.03766887856
300	0.0376299257
301	0.03761788477
302	0.03759833891
303	0.03756460568
304	0.03755174394
305	0.03753503436
306	0.03751765365
307	0.03749940121
308	0.03747568356
309	0.03746489842
310	0.03745929471
311	0.03744549553
312	0.03739054809
313	0.0373713617
314	0.03736089341
315	0.03731393027
316	0.03730563422
317	0.03728295336
318	0.03727415601
319	0.03725441976
320	0.03724487101
321	0.03721719629
322	0.03720900509
323	0.0371903853
324	0.03717901426
325	0.03717362714
326	0.03715749523
327	0.03715303198
328	0.03714050536
329	0.03712686762
330	0.03711084168
331	0.03710096302
332	0.0370806756
333	0.03707344971
334	0.03705442079
335	0.03704369897
336	0.03703139791
337	0.03703101305
338	0.0370306395
339	0.03701542116
340	0.03700980688
341	0.0369851102
342	0.0369762428
343	0.03695978
344	0.03690530928
345	0.03689430754
346	0.0368778281
347	0.03686400148
348	0.03685244845
349	0.03680477388
350	0.03675761046
351	0.03671886307
352	0.03667651048
353	0.03667515436
354	0.03667358985
355	0.03666735901
356	0.03665304466
357	0.03664585457
358	0.03663394349
359	0.03662724148
360	0.03660359591
361	0.03659964689
362	0.03659466886
363	0.03658957391
364	0.03657595423
365	0.0365596879
366	0.03655217817
367	0.03653433043
368	0.03652512083
369	0.03650369297
370	0.03647817474
371	0.03646795896
372	0.03646437044
373	0.03643447258
374	0.03641684421
375	0.03641015889
376	0.03640581568
377	0.03639363835
378	0.03638693268
379	0.03630702277
380	0.03630438661
381	0.03629884478
382	0.03624472996
383	0.03623149827
384	0.03622352049
385	0.03622055344
386	0.0362177639
387	0.03620034507
388	0.03618360343
389	0.03617009811
390	0.036156132
391	0.03614687327
392	0.03613487028
393	0.0361325589
394	0.03611836697
395	0.03611160929
396	0.03608837358
397	0.03607729823
398	0.03606471492
399	0.03604711771
400	0.03604119257
401	0.03603793092
402	0.03602786714
403	0.03602382172
404	0.03598980972
405	0.03592073679
406	0.03591907918
407	0.03590005912
408	0.0358932858
409	0.03588233953
410	0.03586918397
411	0.03585722958
412	0.03585509149
413	0.03583850792
414	0.0358278159
415	0.035784873
416	0.03576876663
417	0.03576383992
418	0.03574738726
419	0.03571467672
420	0.03571357406
421	0.03570797018
422	0.03570076013
423	0.03568524569
424	0.03567340259
425	0.03567041199
426	0.0356651209
427	0.03565892609
428	0.03561946374
429	0.03561425447
430	0.03558925565
431	0.03557550784
432	0.03556864403
433	0.03555858838
434	0.03555182874
435	0.03553297332
436	0.03551839277
437	0.03550958191
438	0.03550526053
439	0.03550027396
440	0.03549743041
441	0.03549336672
442	0.03548686226
443	0.03547844943
444	0.03543946003
445	0.03543177417
446	0.03542023148
447	0.03539917163
448	0.03539159798
449	0.03536682412
450	0.03536533126
451	0.03535234421
452	0.03533594018
453	0.03532548796
454	0.03532213358
455	0.03530446991
456	0.03530195264
457	0.03529295145
458	0.03527612851
459	0.03526111955
460	0.03524237456
461	0.03522107584
462	0.03521285793
463	0.03520991128
464	0.03520127775
465	0.03517913304
466	0.03517719166
467	0.03516695308
468	0.03515391332
469	0.03514458548
470	0.03513546645
471	0.0351171688
472	0.03511451279
473	0.03510847166
474	0.03510606195
475	0.0350905241
476	0.03508389614
477	0.03507401537
478	0.03506872791
479	0.03504311757
480	0.03503770658
481	0.03502946378
482	0.0350280454
483	0.03501679543
484	0.0350034925
485	0.03499125942
486	0.03497497331
487	0.03496576748
488	0.03496397673
489	0.03495928751
490	0.03494296048
491	0.03493994632
492	0.03492466657
493	0.0349133479
494	0.03490239001
495	0.03490193217
496	0.03489416921
497	0.03487888997
498	0.03485505054
499	0.03485233251
500	0.03483328965
501	0.03482635744
502	0.03480843317
503	0.03479543356
504	0.03479075816
505	0.03476724977
506	0.03475904618
507	0.03475620597
508	0.03474261953
509	0.03473556179
510	0.03472487125
511	0.03471299572
512	0.03469722727
513	0.03466897635
514	0.03466611798
515	0.03465873293
516	0.03465135836
517	0.0346351019
518	0.03463418338
519	0.03462667149
520	0.03462502982
521	0.03461646797
522	0.03461390551
523	0.03461172671
524	0.03460448294
525	0.03459330528
526	0.03458730662
527	0.03456530613
528	0.03454973075
529	0.03454561992
530	0.03452937995
531	0.0345227585
532	0.03450602325
533	0.03450214059
534	0.03449349871
535	0.03449138854
536	0.03448325769
537	0.03448090431
538	0.03448003584
539	0.03447644819
540	0.03447057197
541	0.03446232159
542	0.03445602499
543	0.03445071729
544	0.03444026389
545	0.03442561103
546	0.03441564749
547	0.03440009348
548	0.03438938986
549	0.03438662577
550	0.03436842414
551	0.03436541996
552	0.03435441016
553	0.03435371898
554	0.03434754547
555	0.03434069228
556	0.0343352864
557	0.03432889119
558	0.03432007351
559	0.03431808737
560	0.03431176181
561	0.03430611776
562	0.03428427939
563	0.03427414693
564	0.03425407387
565	0.03425024506
566	0.03423339348
567	0.03421572585
568	0.03420825644
569	0.03420599481
570	0.03419633483
571	0.03418977256
572	0.0341879521
573	0.03417758195
574	0.03417408042
575	0.03417275277
576	0.03415715351
577	0.034138256
578	0.03413265691
579	0.0341137763
580	0.03411002369
581	0.03410429386
582	0.03409440248
583	0.0340925363
584	0.03408965436
585	0.0340770957
586	0.0340718328
587	0.03407029274
588	0.03406175441
589	0.03406141792
590	0.03405210405
591	0.03404131637
592	0.03403871588
